"ID","time","name","weights alpha","weights beta","model A","model B","model C","alpha","beta","mode","use MBW","plus lora","custum name","save setting","use ID"
85,2023.06.06 19.42.45,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,IN01::OUT05:layers:1",normal,
86,2023.06.06 19.42.58,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,IN01::OUT05:attn1:1",normal,
87,2023.06.06 19.43.11,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,IN01::OUT05:attn2:1",normal,
88,2023.06.06 19.43.24,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,IN01::OUT05:ff.net:1",normal,
89,2023.06.06 19.43.36,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,IN02::OUT05::1",normal,
90,2023.06.06 19.43.49,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,IN02::OUT05:layers:1",normal,
91,2023.06.06 19.44.02,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,IN02::OUT05:attn1:1",normal,
92,2023.06.06 19.44.15,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,IN02::OUT05:attn2:1",normal,
93,2023.06.06 19.44.27,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,IN02::OUT05:ff.net:1",normal,
94,2023.06.06 19.44.40,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,IN03::OUT05::1",normal,
95,2023.06.06 19.44.52,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,IN03::OUT05:layers:1",normal,
96,2023.06.06 19.45.05,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,IN03::OUT05:attn1:1",normal,
97,2023.06.06 19.45.18,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,IN03::OUT05:attn2:1",normal,
98,2023.06.06 19.45.31,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,IN03::OUT05:ff.net:1",normal,
99,2023.06.06 19.45.43,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05::1,IN04::OUT05::1",normal,
100,2023.06.06 19.45.56,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:layers:1,IN04::OUT05:layers:1",normal,
101,2023.06.06 19.46.09,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn1:1,IN04::OUT05:attn1:1",normal,
102,2023.06.06 19.46.21,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:attn2:1,IN04::OUT05:attn2:1",normal,
103,2023.06.06 19.46.34,realisticVisionV20_v20 x 0.5 + darkSushiMixMix_brighterPruned x 0.5,,,e6415c4892,099e07547a,,0.5,0.25,Weight sum:A*(1-alpha)+B*alpha,False,,,[],"OUT05:ff.net:1,IN04::OUT05:ff.net:1",normal,
